Libellé Fonction,Sous-fonction,Libellé sous-fonction,Article,Bénéficiaire,Budget de l'année,Libellé article
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Provision pour relations internationales,53741,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.3,Autres actions en faveur de l'enfance,6574,Scouts et Guides de France,15000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,314.2,Théâtre National de Bretagne,6574,SMEL Théâtre National de Bretagne : Ecole d'Art Dramatique (TNB),280000,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Comité jumelage  Rennes-Almaty,1066,Subv. fonct. aux associat.et autres personnes droit privé
Culture,313.1,Activités théâtrales,6574,Cercle Paul Bert - Théâtre du Cercle,59000,Subv. fonct. aux associat.et autres personnes droit privé
Aménagement et service urbains,823.1,Espaces verts et jardins,6574,MCE - NICHOIRS CITOYENS,5000,Subv. fonct. aux associat.et autres personnes droit privé
Aménagement et service urbains,822.1,Circulation voirie,6574,Provision pour diverses actions de sécurité routière,38400,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.15,Oeuvres  scolaires,6574,Association Départementale des Pupilles de l'Enseignement Public d'Ille et Vilaine(ADPEP 35),7255,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,23.101,Information Communication,6574,Association BUG - Gestion WIKI Rennes,20000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.3,Autres actions en faveur de l'enfance,6574,Les Petits Débrouillards de Bretagne,29000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.15,CRR - Musiques,6574,Ensemble Musical des Cheminots Rennais,2732,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,LEO LAGRANGE OUEST - PHAKT,107487,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Pôle France de gymnastique de Rennes,32972,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Union Syndicale des retraités CGT,500,Subv. fonct. aux associat.et autres personnes droit privé
